Port_IDs,Total_PnL,Total_ROI,Sharpe_Ratio,Max_Drawdown,Win_Rate,Total_Positions,Win_Positions,Total_ROI_Score,Total_PnL_Score,Sharpe_Ratio_Score,Win_Rate_Score,Max_Drawdown_Score,Rank_Score
3936410995029308417,10681.514,3.2838245324920934e-05,0.29898370047919265,0.0,0.3,20,6,9.85147359747628e-06,2670.3785,0.05979674009583853,0.045,-0.0,2670.4833065915695
3941019213896463617,4234.088,0.00019190542163738776,0.08777363799755793,-2.435061897343109,0.49,112,55,5.757162649121633e-05,1058.522,0.017554727599511585,0.0735,0.2435061897343109,1058.85661848896
4030555430101054209,3358.38,0.0001229982410712409,0.3240861720995911,0.0,0.26,121,32,3.6899472321372274e-05,839.595,0.06481723441991823,0.039,-0.0,839.6988541338923
4036548677626662656,3296.877,0.00017117716702140366,0.24267706977780504,0.0,0.46,147,68,5.1353150106421096e-05,824.21925,0.04853541395556101,0.069,-0.0,824.3368367671055
4023697881318718465,3151.951,3.1668715551054603,0.2758701284486444,0.0,0.09,70,6,0.950061466531638,787.98775,0.05517402568972888,0.0135,-0.0,789.0064854922215
4031451549482615297,3124.541,0.005198103639051935,0.22530212904555794,-0.3599710775148308,0.39,114,44,0.0015594310917155807,781.13525,0.04506042580911159,0.058499999999999996,0.035997107751483085,781.2763669646522
4033639786957934336,2848.142,5.8690949786085564e-05,0.21441244620886019,0.0,0.17,149,25,1.760728493582567e-05,712.0355,0.04288248924177204,0.025500000000000002,-0.0,712.1039000965266
3981810242465907713,2836.473,3.3729428391195406,0.19707291093117776,-0.0,0.11,105,12,1.0118828517358622,709.11825,0.03941458218623556,0.0165,0.0,710.1860474339221
4029422834086627072,2799.903,10.927288544981185,0.5116182899882394,0.0,0.37,102,38,3.2781865634943554,699.97575,0.1023236579976479,0.0555,-0.0,703.411760221492
4030565764341697025,2789.878,0.011810637782697255,0.33289916900470407,-0.03214792167222979,0.49,105,51,0.0035431913348091763,697.4695,0.06657983380094082,0.0735,0.003214792167222979,697.6163378173029
4028427053699127040,2633.024,-0.0003936744649006844,0.2642711669506095,-0.09298993432180125,0.3,121,36,-0.00011810233947020531,658.256,0.0528542333901219,0.045,0.009298993432180125,658.3630351244827
3977234346014419201,2427.293,116.3521998932605,0.3047358693024749,0.0,0.4,83,33,34.90565996797815,606.82325,0.06094717386049499,0.06,-0.0,641.8498571418387
4035430878731345664,2493.75,15.5394360463633,0.4696392626687299,0.0,0.48,89,43,4.661830813908989,623.4375,0.09392785253374598,0.072,-0.0,628.2652586664427
3983074113875692800,2424.83,13.309759750484956,0.36019860968207074,0.0,0.33,43,14,3.9929279251454863,606.2075,0.07203972193641416,0.0495,-0.0,610.3219676470819
4029506971304830209,2413.654,2.648919042389735,0.24490724451952647,-0.0015850168875167225,0.06,52,3,0.7946757127169205,603.4135,0.048981448903905295,0.009,0.00015850168875167225,604.2663156633095
4023697433751327232,2408.224,4.619393951648702,0.30015934309004805,0.0,0.1,42,4,1.3858181854946106,602.056,0.06003186861800961,0.015,-0.0,603.5168500541126
4037179073830813185,2331.435,0.00021549863968662325,0.24056754653620313,0.0,0.42,73,31,6.464959190598698e-05,582.85875,0.04811350930724063,0.063,-0.0,582.969928158899
4041860229502600193,2327.336,0.008086571754234367,0.4571934663380226,0.0,0.39,97,38,0.0024259715262703097,581.834,0.09143869326760452,0.058499999999999996,-0.0,581.9863646647938
4040843843196854529,2151.704,0.00017002182482611395,0.3416676069898303,0.0,0.32,59,19,5.100654744783418e-05,537.926,0.06833352139796606,0.048,-0.0,538.0423845279455
3944658614777849089,2074.45,0.09064338190130308,0.4074903672652917,0.0,0.44,45,20,0.027193014570390923,518.6125,0.08149807345305835,0.066,-0.0,518.7871910880234
3910887259807777281,1803.302,4.198387189428157e-06,0.10829621222172861,-0.35731454229207144,0.23,75,17,1.259516156828447e-06,450.8255,0.021659242444345722,0.0345,0.03573145422920714,450.9173919561897
4038768306117031680,1741.914,1.3167755693494476,0.13502764686297253,0.0,0.22,100,22,0.3950326708048343,435.4785,0.027005529372594508,0.033,-0.0,435.93353820017745
4004713168329653760,1667.199,3.150071273808433,0.27741111207010244,0.0,0.07,27,2,0.9450213821425298,416.79975,0.05548222241402049,0.0105,-0.0,417.81075360455657
4030708912786799105,1612.844,1.6568377623399455,0.18414108868407542,0.0,0.03,60,2,0.49705132870198365,403.211,0.036828217736815085,0.0045,-0.0,403.7493795464388
4029507714735307777,1537.9,1.176405486726586,0.1958523633818955,0.0,0.04,53,2,0.3529216460179758,384.475,0.0391704726763791,0.006,-0.0,384.8730921186944
3998659472131949824,1449.326,1.6423322046339122e-05,0.3824381523639125,0.0,0.49,147,72,4.926996613901737e-06,362.3315,0.07648763047278251,0.0735,-0.0,362.48149255746944
3956048468100538880,1373.565,0.33764647845579215,0.524861880311556,0.0,0.71,28,20,0.10129394353673764,343.39125,0.1049723760623112,0.1065,-0.0,343.7040163195991
4031408429897920512,1351.267,0.0160434524295204,0.1578306045851714,0.0,0.05,82,4,0.004813035728856121,337.81675,0.03156612091703428,0.0075,-0.0,337.86062915664587
4030392204221219329,1347.758,0.815242271470517,0.2007295988335892,0.0,0.09,85,8,0.24457268144115507,336.9395,0.040145919766717844,0.0135,-0.0,337.23771860120786
4039129759104249600,1264.289,0.5838759517571713,0.5220426060771436,0.0,0.44,133,59,0.1751627855271514,316.07225,0.10440852121542872,0.066,-0.0,316.41782130674255
